timestamp_us,grip_voltage,relative_time_us
102504663,1255,469212
102505038,1264,469587
102505408,1285,469957
102505779,1323,470328
102506150,1379,470699
102506520,1447,471069
102506895,1527,471444
102507265,1613,471814
102507636,1714,472185
102508007,1818,472556
102508377,1924,472926
102508747,2037,473296
102509118,2151,473667
102509489,2258,474038
102509859,2366,474408
102510234,2469,474783
102510605,2557,475154
102510975,2638,475524
102511346,2709,475895
102511719,2766,476268
102512090,2810,476639
102512460,2837,477009
102512830,2851,477379
102513201,2850,477750
102513572,2832,478121
102513942,2800,478491
102514313,2752,478862
102514685,2691,479234
102515056,2618,479605
102515427,2535,479976
102515797,2445,480346
102516168,2339,480717
102516538,2232,481087
102516913,2119,481462
102517283,2004,481832
102517654,1897,482203
102518024,1789,482573
102518395,1686,482944
102518765,1590,483314
102519136,1505,483685
102519507,1428,484056
102519882,1363,484431
102520252,1316,484801
102520622,1279,485171
102520993,1257,485542
102521364,1254,485913
102521738,1268,486287
102522109,1291,486658
102522480,1330,487029
102522850,1388,487399
102523225,1458,487774
102523596,1536,488145
102523966,1624,488515
102524337,1726,488886
102524710,1831,489259
102525081,1938,489630
102525451,2048,490000
102525821,2156,490370
102526192,2270,490741
102526563,2373,491112
102526937,2474,491486
102527307,2562,491856
102527678,2645,492227
102528053,2714,492602
102528424,2770,492973
102528794,2812,493343
102529165,2841,493714
102529535,2853,494084
102529910,2849,494459
102530280,2828,494829
102530650,2795,495199
102531021,2747,495570
102531391,2683,495940
102531761,2610,496310
102532132,2524,496681
102532502,2427,497051
102532873,2325,497422
102533248,2217,497797
102533618,2109,498167
102533989,1997,498538
102534359,1887,498908
102534736,1775,499285
102535106,1677,499655
102535477,1584,500026
102535847,1499,500396
102536218,1424,500767
102536589,1359,501138
102536959,1309,501508
102537330,1276,501879
102537705,1260,502254
102538075,1254,502624
102538446,1264,502995
102538816,1295,503365
102539187,1337,503736
102539558,1395,504107
102539933,1462,504482
102540303,1547,504852
102540673,1638,505222
102541046,1738,505595
102541417,1840,505966
102541787,1951,506336
102542158,2061,506707
102542528,2174,507077
102542903,2282,507452
102543273,2388,507822
102543644,2488,508193
102544015,2575,508564
102544385,2655,508934
102544755,2720,509304
102545128,2775,509677
102545499,2819,510048
102545869,2839,510418
102546244,2850,510793
102546615,2845,511164
102546986,2828,511535
102547356,2789,511905
102547728,2737,512277
102548099,2673,512648
102548470,2598,513019
102548840,2513,513389
102549211,2416,513760
102549581,2315,514130
102549952,2209,514501
