Time_s,ADC6,CH0
101.725,1239,
101.726,1246,
101.727,1239,
101.728,1232,
101.729,1228,
101.73,1216,
101.731,1203,
101.732,1200,
101.733,1198,
101.734,1196,
101.735,1191,
101.736,1198,
101.737,1200,
101.738,1208,
101.739,1216,
101.74,1228,
101.741,1231,
101.742,1235,
101.743,1240,
101.744,1244,
101.745,1240,
101.746,1240,
101.747,1232,
101.748,1228,
101.749,1215,
101.75,1201,
101.751,1196,
101.752,1188,
101.753,1184,
101.754,1183,
101.755,1186,
101.756,1186,
101.757,1200,
101.758,1204,
101.759,1215,
101.76,1223,
101.761,1223,
101.762,1231,
101.763,1233,
101.764,1240,
101.765,1239,
101.766,1233,
101.767,1231,
101.768,1224,
101.769,1223,
101.77,1209,
101.771,1206,
101.772,1194,
101.773,1198,
101.774,1193,
101.775,1200,
101.776,1201,
101.777,1209,
101.778,1220,
101.779,1224,
101.78,1234,
101.781,1239,
101.782,1244,
101.783,1248,
101.784,1247,
101.785,1244,
101.786,1248,
101.787,1240,
101.788,1231,
101.789,1219,
